"id","date","shop","gruppa","name","characteristic","quantity","item","price","amount","id_store"
"85","2017-08-17","Реал Маркет Котлас","Стройматериалы","Муфта","соединительная (пломбир)","1","шт.","60.00","58.00","2"
"86","2017-08-17","Реал Маркет Котлас","Стройматериалы","Наконечник","(пломбир)","1","шт.","115.00","112.00","2"
"87","2017-08-17","Реал Маркет Котлас","Стройматериалы","Элемент","(пломбир)","2","шт.","155.00","301.00","2"
"88","2017-08-17","Реал Маркет Котлас","Стройматериалы","Заглушка","воронки (пломбир)","2","шт.","60.00","116.00","2"
"89","2017-08-17","Реал Маркет Котлас","Стройматериалы","Заглушка","(пломбир)","1","шт.","60.00","58.00","2"
"90","2017-08-17","Реал Маркет Котлас","Стройматериалы","Хомут","универсальный (пломбир)","1","шт.","45.00","44.00","2"
"91","2017-05-22","СтройБери","Стройматериалы","Ветрозащита","Стройбонд А 35 кв.м.","1","шт.","550.00","550.00","73"
"92","2017-05-22","СтройБери","Расходники","Полотно","ножовочное по металлу 300мм.","5","шт.","15.00","75.00","73"
"93","2017-05-22","СтройБери","Лакокрасочные","Кисть","флейцевая 1,5""","1","шт.","30.00","30.00","73"
"94","2017-08-11","Ёлки-палки","Дерево","Доска","имитация бруса 18 х 140 х 2500мм. сорт АВ","10","шт.","54.00","540.00","25"
"95","2017-09-01","СтройМир на Чиркова","Стройматериалы","Сайдинг","Nordside / панель (3050 х 231мм.) индиго","7","шт.","175.00","1225.00","67"
"96","2017-09-01","СтройМир на Чиркова","Стройматериалы","Сайдинг","Nordside / карнизная доска J-профиль (белый) 3,05м.","3","шт.","485.00","1455.00","67"
"97","2017-09-01","СтройМир на Чиркова","Стройматериалы","Сайдинг","Nordside / стартовая рейка (белая) 3,05м.","2","шт.","160.00","320.00","67"
"98","2017-09-01","СтройМир на Чиркова","Стройматериалы","Сайдинг","Nordside / финишная рейка (белая) 3,05м.","3","шт.","175.00","525.00","67"
"99","2017-09-06","СтройМир на Чиркова","Стройматериалы","Сайдинг","Nordside / J-профиль, белый, 3,05м.","1","шт.","180.00","180.00","67"
"100","2017-09-06","СтройМир на Чиркова","Стройматериалы","Сайдинг","Nordside / панель (3050 х 231мм.) индиго","3","шт.","175.00","525.00","67"
"101","2017-09-06","СтройМир на Чиркова","Электрика","Вилка","штепсельная универсальная В6-001, 6А, белая, Витебск","2","шт.","20.00","40.00","67"
"102","2017-09-01","Реал Маркет Коряжма","Химия","Клей","Момент Супер мульти-карта, 3гр.","1","шт.","45.00","44.00","1"
"103","2017-09-01","Реал Маркет Коряжма","Лакокрасочные","Краска","Сурик железный МА-15 Царицынские краски, 3кг.","1","шт.","345.00","335.00","1"
"104","2017-09-01","Реал Маркет Коряжма","Стройматериалы","Колено","45 (пломбир)","2","шт.","135.00","262.00","1"
"105","2017-09-01","Реал Маркет Коряжма","Стройматериалы","Колено","72 (пломбир)","2","шт.","120.00","233.00","1"
"106","2017-09-01","Реал Маркет Коряжма","Стройматериалы","Соединитель","желобов (пломбир)","5","шт.","110.00","534.00","1"
"107","2017-09-01","Реал Маркет Коряжма","Стройматериалы","Заглушка","(пломбир)","1","шт.","50.00","49.00","1"
"108","2017-09-01","Реал Маркет Коряжма","Стройматериалы","Хомут","универсальный (пломбир)","1","шт.","45.00","44.00","1"
"109","2017-09-01","Реал Маркет Коряжма","Стройматериалы","Кронштейн","желоба пластмассовый (пломбир)","12","шт.","35.00","408.00","1"
"110","2017-10-17","Лес и Дом Котлас","Инструмент","Цепь","пильная 14 3/8 1,3 53 Oregon OM GS35 Э64884","1","шт.","405.00","405.00","40"
"111","2018-06-07","Пилорама","Дерево","Доска","150 х 25 х 4000мм.","1","куб.м.","5900.00","5900.00","61"
"112","2018-06-07","Пилорама","Дерево","Доска","(100-150) х 25 х 2000мм.","2","куб.м.","3450.00","6900.00","61"
"113","2018-06-18","Реал Маркет В-Устюг","Расходники","Круг","фетровый 125мм. с липучкой","1","шт.","210.00","210.00","3"
"114","2018-06-18","Реал Маркет В-Устюг","Расходники","Диск","шлифовальный 125мм. с липучкой, гайка М14 (NR-2)","1","шт.","230.00","230.00","3"
"115","2017-09-10","СтройМир на Пугачёва","Расходники","Шайба","DIN127 гроверная М10","12","шт.","1.00","6.00","66"
"116","2017-09-10","СтройМир на Пугачёва","Расходники","Шайба","DIN127 гроверная М6","12","шт.","0.17","2.00","66"
"117","2017-09-10","СтройМир на Пугачёва","Расходники","Шайба","DIN125 цинк d=6mm.","20","шт.","0.20","4.00","66"
