Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),timeStart (s),timeStartUTC (s),GPSLatitude (deg),GPSLongitude (deg),GPSHeight (m),GPSSat (),Temp (*C),Pressure (Pa),Heigh BME (m),Vbat (V),FR1 (%),FR2 (%),1 (),2 (),Vel (m/s),ALx (g),ALy (g),ALz (g),Agx (deg/s),Agy (deg/s),Agz (deg/s),MagX (Gauss),MagY (Gauss),MagZ (Gauss),TimeNRF (ms),TimeFR (ms),TimeVbat (ms),TimeBME280 (ms),TimeLSM6DSL (ms),TimeLIS3MDL (ms),TimeSdData (ms),quat (Gauss),quat1 (),quat2 (),quat3 (),quatGyro ()
31,1657110690068,3636871,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0336914,0.0405273,1.0424805,4.0893555,-5.3710938,1.0986328,0.0795898,0.3740234,0.4443359,16.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0544551,0.1916721,0.8900844,0.0000000
32,1657110690078,3636881,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0307617,0.0390625,1.0449219,1.7700195,-3.7231445,13.2446289,0.0791016,0.3740234,0.4458008,16.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,26.0000000,0.0000000,0.0544365,0.1916334,0.8900202,0.0000000
33,1657110690088,3636891,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0307617,0.0341797,1.0390625,2.6245117,-4.0893555,0.4272461,0.0786133,0.3740234,0.4462891,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0544088,0.1915906,0.8900181,0.0000000
34,1657110690098,3636901,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0332031,0.0468750,1.0473633,1.5258789,-3.9062500,-0.3662109,0.0781250,0.3730469,0.4453125,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0543924,0.1915498,0.8900199,0.0000000
35,1657110690108,3636911,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0312500,0.0410156,1.0400391,1.2817383,-3.9062500,-0.1831055,0.0786133,0.3720703,0.4448242,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0543785,0.1915091,0.8900208,0.0000000
36,1657110690124,3636927,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0322266,0.0405273,1.0405273,2.5634766,-3.6010742,-0.8544922,0.0786133,0.3715820,0.4448242,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0543350,0.1914484,0.8900274,0.0000000
37,1657110690134,3636937,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0346680,0.0410156,1.0390625,1.0986328,-4.6997070,-0.6103516,0.0781250,0.3710938,0.4448242,14.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0543233,0.1913993,0.8900304,0.0000000
38,1657110690144,3636947,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0302734,0.0415039,1.0371094,1.8920898,-4.3334961,-0.6103516,0.0781250,0.3706055,0.4443359,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0543031,0.1913544,0.8900333,0.0000000
39,1657110690154,3636957,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0317383,0.0434570,1.0395508,3.3569336,-3.5400391,-0.6713867,0.0786133,0.3715820,0.4443359,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0542674,0.1913178,0.8900366,0.0000000
40,1657110690181,3636984,41446.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,76.17000,83.64000,37.00000,0.00000,0.0000000,-0.0356445,0.0434570,1.0410156,3.1127930,-4.2114258,-0.4882812,0.0786133,0.3725586,0.4428711,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0541781,0.1911987,0.8900430,0.0000000
